Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Causes,Natural Causes,Chronic Causes,Non_Chronic Causes
9/27/2023,United States,2020,1,1/4/2020,60179,55010,41942,2189
9/27/2023,United States,2020,2,1/11/2020,60735,55755,42446,2177
9/27/2023,United States,2020,3,1/18/2020,59363,54516,41427,2096
9/27/2023,United States,2020,4,1/25/2020,59162,54401,41505,2126
9/27/2023,United States,2020,5,2/1/2020,58834,54001,41026,2027
9/27/2023,United States,2020,6,2/8/2020,59491,54416,41636,2063
9/27/2023,United States,2020,7,2/15/2020,58815,53969,41376,2128
9/27/2023,United States,2020,8,2/22/2020,58912,53987,41232,2070
9/27/2023,United States,2020,9,2/29/2020,59334,54316,41559,2184
9/27/2023,United States,2020,10,3/7/2020,59716,54401,41571,2263
9/27/2023,United States,2020,11,3/14/2020,58672,53529,40973,2283
9/27/2023,United States,2020,12,3/21/2020,59220,54302,42191,2358
9/27/2023,United States,2020,13,3/28/2020,63026,58238,48486,2412
9/27/2023,United States,2020,14,4/4/2020,72294,67445,63739,2538
9/27/2023,United States,2020,15,4/11/2020,79113,74012,76387,2277
9/27/2023,United States,2020,16,4/18/2020,76809,71895,75533,1900
9/27/2023,United States,2020,17,4/25/2020,73909,68740,70803,1813
9/27/2023,United States,2020,18,5/2/2020,69304,63931,64501,1557
9/27/2023,United States,2020,19,5/9/2020,66814,61173,59981,1451
9/27/2023,United States,2020,20,5/16/2020,64479,58978,55731,1420
9/27/2023,United States,2020,21,5/23/2020,61642,56014,51253,1373
9/27/2023,United States,2020,22,5/30/2020,59682,53987,48315,1327
9/27/2023,United States,2020,23,6/6/2020,58908,52924,46175,1255
9/27/2023,United States,2020,24,6/13/2020,58034,52274,44553,1287
9/27/2023,United States,2020,25,6/20/2020,57999,52211,44154,1367
9/27/2023,United States,2020,26,6/27/2020,58510,52643,44345,1297
9/27/2023,United States,2020,27,7/4/2020,59837,53815,46231,1251
9/27/2023,United States,2020,28,7/11/2020,61962,55858,49196,1407
9/27/2023,United States,2020,29,7/18/2020,63177,57140,51823,1433
9/27/2023,United States,2020,30,7/25/2020,64249,58386,54031,1453
9/27/2023,United States,2020,31,8/1/2020,64235,58275,54299,1384
9/27/2023,United States,2020,32,8/8/2020,63719,57822,53138,1453
9/27/2023,United States,2020,33,8/15/2020,63665,57760,52307,1392
9/27/2023,United States,2020,34,8/22/2020,62562,56595,50302,1321
9/27/2023,United States,2020,35,8/29/2020,61104,55332,48567,1287
9/27/2023,United States,2020,36,9/5/2020,60247,54238,46833,1301
9/27/2023,United States,2020,37,9/12/2020,59665,53942,46022,1285
9/27/2023,United States,2020,38,9/19/2020,59753,54137,45858,1344
9/27/2023,United States,2020,39,9/26/2020,60613,55059,46551,1312
9/27/2023,United States,2020,40,10/3/2020,59822,54114,45594,1409
9/27/2023,United States,2020,41,10/10/2020,61779,55933,47748,1347
9/27/2023,United States,2020,42,10/17/2020,60643,55200,47653,1324
9/27/2023,United States,2020,43,10/24/2020,62189,56847,49898,1370
9/27/2023,United States,2020,44,10/31/2020,63425,58053,51868,1372
9/27/2023,United States,2020,45,11/7/2020,67590,61742,56858,1475
9/27/2023,United States,2020,46,11/14/2020,68823,63215,60252,1440
9/27/2023,United States,2020,47,11/21/2020,71676,66245,65744,1517
9/27/2023,United States,2020,48,11/28/2020,73327,67922,69716,1497
9/27/2023,United States,2020,49,12/5/2020,77429,71976,76705,1618
9/27/2023,United States,2020,50,12/12/2020,82025,76440,82825,1677
9/27/2023,United States,2020,51,12/19/2020,82938,77523,85590,1661
9/27/2023,United States,2020,52,12/26/2020,84371,78718,87522,1749
9/27/2023,United States,2020,53,1/2/2021,87033,81119,91303,1723
9/27/2023,United States,2021,1,1/9/2021,87074,81201,92709,1683
9/27/2023,United States,2021,2,1/16/2021,87415,81622,92768,1677
9/27/2023,United States,2021,3,1/23/2021,83703,78116,87550,1582
9/27/2023,United States,2021,4,1/30/2021,79202,73653,80138,1521
9/27/2023,United States,2021,5,2/6/2021,76514,70618,73667,1515
9/27/2023,United States,2021,6,2/13/2021,71513,65874,65888,1462
9/27/2023,United States,2021,7,2/20/2021,69529,63975,60995,1505
9/27/2023,United States,2021,8,2/27/2021,66740,60968,55980,1378
9/27/2023,United States,2021,9,3/6/2021,63703,57930,51430,1416
9/27/2023,United States,2021,10,3/13/2021,61867,56205,49189,1363
9/27/2023,United States,2021,11,3/20/2021,60374,54422,46880,1364
9/27/2023,United States,2021,12,3/27/2021,60841,54996,46694,1304
9/27/2023,United States,2021,13,4/3/2021,58699,52889,44747,1302
9/27/2023,United States,2021,14,4/10/2021,60998,54675,46206,1376
9/27/2023,United States,2021,15,4/17/2021,59174,53235,45518,1278
9/27/2023,United States,2021,16,4/24/2021,60260,54276,46603,1276
9/27/2023,United States,2021,17,5/1/2021,59833,54013,45635,1252
9/27/2023,United States,2021,18,5/8/2021,59014,52987,44816,1284
9/27/2023,United States,2021,19,5/15/2021,58469,52587,43969,1252
9/27/2023,United States,2021,20,5/22/2021,58774,52637,43323,1244
9/27/2023,United States,2021,21,5/29/2021,57344,51384,41979,1245
9/27/2023,United States,2021,22,6/5/2021,57459,51170,41223,1222
9/27/2023,United States,2021,23,6/12/2021,57160,50783,40702,1263
9/27/2023,United States,2021,24,6/19/2021,57262,50983,40596,1239
9/27/2023,United States,2021,25,6/26/2021,56933,50733,40256,1346
9/27/2023,United States,2021,26,7/3/2021,57530,51136,40344,1290
9/27/2023,United States,2021,27,7/10/2021,57219,50732,40214,1364
9/27/2023,United States,2021,28,7/17/2021,57253,51103,40921,1348
9/27/2023,United States,2021,29,7/24/2021,58439,52271,42595,1378
9/27/2023,United States,2021,30,7/31/2021,60317,54154,45709,1402
9/27/2023,United States,2021,31,8/7/2021,63801,57390,51002,1357
9/27/2023,United States,2021,32,8/14/2021,67050,60840,57383,1535
9/27/2023,United States,2021,33,8/21/2021,69962,63769,62760,1484
9/27/2023,United States,2021,34,8/28/2021,72189,65912,66976,1540
9/27/2023,United States,2021,35,9/4/2021,73544,67248,69524,1505
9/27/2023,United States,2021,36,9/11/2021,73765,67322,69439,1627
9/27/2023,United States,2021,37,9/18/2021,73317,67119,69082,1556
9/27/2023,United States,2021,38,9/25/2021,72188,66027,67008,1525
9/27/2023,United States,2021,39,10/2/2021,71350,65107,64414,1587
9/27/2023,United States,2021,40,10/9/2021,69136,63023,60800,1490
9/27/2023,United States,2021,41,10/16/2021,67551,61594,58050,1529
9/27/2023,United States,2021,42,10/23/2021,67064,61156,56445,1482
9/27/2023,United States,2021,43,10/30/2021,66503,60505,54797,1545
9/27/2023,United States,2021,44,11/6/2021,66624,60293,53892,1644
9/27/2023,United States,2021,45,11/13/2021,67467,61495,54444,1618
9/27/2023,United States,2021,46,11/20/2021,66990,61055,54246,1633
9/27/2023,United States,2021,47,11/27/2021,67969,62180,55919,1641
9/27/2023,United States,2021,48,12/4/2021,70202,64125,58465,1771
9/27/2023,United States,2021,49,12/11/2021,72148,66090,61081,1852
9/27/2023,United States,2021,50,12/18/2021,71336,65423,61418,1773
9/27/2023,United States,2021,51,12/25/2021,72330,66516,62609,1945
9/27/2023,United States,2021,52,1/1/2022,74452,68520,65404,2062
9/27/2023,United States,2022,1,1/8/2022,79866,73852,73815,1954
9/27/2023,United States,2022,2,1/15/2022,85133,79112,82486,1845
9/27/2023,United States,2022,3,1/22/2022,85747,79835,85681,1840
9/27/2023,United States,2022,4,1/29/2022,85126,79244,84495,1755
9/27/2023,United States,2022,5,2/5/2022,81392,75280,78642,1606
9/27/2023,United States,2022,6,2/12/2022,77317,71096,71276,1630
9/27/2023,United States,2022,7,2/19/2022,71068,64980,62223,1478
9/27/2023,United States,2022,8,2/26/2022,66225,60337,54714,1502
9/27/2023,United States,2022,9,3/5/2022,64574,58456,50868,1487
9/27/2023,United States,2022,10,3/12/2022,61932,55903,47065,1375
9/27/2023,United States,2022,11,3/19/2022,60660,54664,44539,1412
9/27/2023,United States,2022,12,3/26/2022,58674,53005,42462,1377
9/27/2023,United States,2022,13,4/2/2022,58157,52456,41281,1351
9/27/2023,United States,2022,14,4/9/2022,57946,52197,40892,1372
9/27/2023,United States,2022,15,4/16/2022,57937,52180,40671,1474
9/27/2023,United States,2022,16,4/23/2022,56807,51141,39837,1304
9/27/2023,United States,2022,17,4/30/2022,57413,51615,40283,1400
9/27/2023,United States,2022,18,5/7/2022,57571,51629,40271,1399
9/27/2023,United States,2022,19,5/14/2022,58005,52035,40895,1377
9/27/2023,United States,2022,20,5/21/2022,57785,51849,40780,1362
9/27/2023,United States,2022,21,5/28/2022,57200,51405,40550,1319
9/27/2023,United States,2022,22,6/4/2022,57700,51569,40959,1398
9/27/2023,United States,2022,23,6/11/2022,58184,52001,41481,1372
9/27/2023,United States,2022,24,6/18/2022,57941,51706,41177,1327
9/27/2023,United States,2022,25,6/25/2022,58438,52175,41749,1328
9/27/2023,United States,2022,26,7/2/2022,58258,52004,41833,1325
9/27/2023,United States,2022,27,7/9/2022,58309,51925,41822,1310
9/27/2023,United States,2022,28,7/16/2022,58600,52334,42531,1341
9/27/2023,United States,2022,29,7/23/2022,59936,53543,43654,1358
9/27/2023,United States,2022,30,7/30/2022,58926,52788,43481,1357
9/27/2023,United States,2022,31,8/6/2022,59350,52996,43547,1348
9/27/2023,United States,2022,32,8/13/2022,58773,52481,42892,1336
9/27/2023,United States,2022,33,8/20/2022,58615,52776,43026,1293
9/27/2023,United States,2022,34,8/27/2022,58419,52399,42442,1300
9/27/2023,United States,2022,35,9/3/2022,58248,52041,42278,1343
9/27/2023,United States,2022,36,9/10/2022,58830,52446,42278,1364
9/27/2023,United States,2022,37,9/17/2022,58397,52468,42015,1330
9/27/2023,United States,2022,38,9/24/2022,58885,52834,42335,1327
9/27/2023,United States,2022,39,10/1/2022,58687,52749,41914,1342
9/27/2023,United States,2022,40,10/8/2022,59702,53486,42183,1442
9/27/2023,United States,2022,41,10/15/2022,59870,53842,42597,1444
9/27/2023,United States,2022,42,10/22/2022,60247,54300,42919,1484
9/27/2023,United States,2022,43,10/29/2022,60193,54394,43164,1481
9/27/2023,United States,2022,44,11/5/2022,61211,55087,43526,1609
9/27/2023,United States,2022,45,11/12/2022,61213,55174,43617,1699
9/27/2023,United States,2022,46,11/19/2022,61802,56034,44549,1802
9/27/2023,United States,2022,47,11/26/2022,64789,58829,46861,2050
9/27/2023,United States,2022,48,12/3/2022,65953,59958,47631,2458
9/27/2023,United States,2022,49,12/10/2022,67227,61016,49016,2561
9/27/2023,United States,2022,50,12/17/2022,66574,60586,49123,2534
9/27/2023,United States,2022,51,12/24/2022,68138,62148,50363,2556
9/27/2023,United States,2022,52,12/31/2022,70366,64175,52252,2741
9/27/2023,United States,2023,1,1/7/2023,69134,62822,51223,2648
9/27/2023,United States,2023,2,1/14/2023,66490,60697,49359,2244
9/27/2023,United States,2023,3,1/21/2023,64321,58596,47296,2027
9/27/2023,United States,2023,4,1/28/2023,62537,57061,45874,1941
9/27/2023,United States,2023,5,2/4/2023,62865,57141,45495,1839
9/27/2023,United States,2023,6,2/11/2023,62949,57160,45310,1833
9/27/2023,United States,2023,7,2/18/2023,61861,56253,44542,1788
9/27/2023,United States,2023,8,2/25/2023,62131,56382,44447,1767
9/27/2023,United States,2023,9,3/4/2023,61419,55739,43677,1781
9/27/2023,United States,2023,10,3/11/2023,60801,55148,43155,1863
9/27/2023,United States,2023,11,3/18/2023,61132,55619,43466,1772
9/27/2023,United States,2023,12,3/25/2023,60800,55223,43268,1906
9/27/2023,United States,2023,13,4/1/2023,60195,54507,42321,1876
9/27/2023,United States,2023,14,4/8/2023,59039,53323,41589,1955
9/27/2023,United States,2023,15,4/15/2023,59651,53899,41790,1921
9/27/2023,United States,2023,16,4/22/2023,58433,52915,40900,1915
9/27/2023,United States,2023,17,4/29/2023,57761,52508,40463,1897
9/27/2023,United States,2023,18,5/6/2023,58007,52380,40404,2004
9/27/2023,United States,2023,19,5/13/2023,57796,52261,40262,2050
9/27/2023,United States,2023,20,5/20/2023,56617,51276,39164,1998
9/27/2023,United States,2023,21,5/27/2023,55684,50505,38817,2084
9/27/2023,United States,2023,22,6/3/2023,56744,51187,39213,2137
9/27/2023,United States,2023,23,6/10/2023,56192,50891,39047,2263
9/27/2023,United States,2023,24,6/17/2023,56145,51078,39198,2268
9/27/2023,United States,2023,25,6/24/2023,55616,50602,38864,2417
9/27/2023,United States,2023,26,7/1/2023,55477,50608,38884,2731
9/27/2023,United States,2023,27,7/8/2023,55651,50453,39013,2916
9/27/2023,United States,2023,28,7/15/2023,55170,50565,38803,3015
9/27/2023,United States,2023,29,7/22/2023,55151,50653,38847,3283
9/27/2023,United States,2023,30,7/29/2023,54992,50760,39053,3497
9/27/2023,United States,2023,31,8/5/2023,55102,51130,39534,3819
9/27/2023,United States,2023,32,8/12/2023,55306,51599,40198,4086
9/27/2023,United States,2023,33,8/19/2023,54466,51102,40001,4029
9/27/2023,United States,2023,34,8/26/2023,52892,50000,39302,4079
9/27/2023,United States,2023,35,9/2/2023,50814,48651,38418,4132
9/27/2023,United States,2023,36,9/9/2023,47232,46091,36589,3992
9/27/2023,United States,2023,37,9/16/2023,37874,37824,30079,3049
9/27/2023,Alabama,2020,1,1/4/2020,1082,1009,816,53
9/27/2023,Alabama,2020,2,1/11/2020,1127,1060,798,61
9/27/2023,Alabama,2020,3,1/18/2020,1039,976,762,55
9/27/2023,Alabama,2020,4,1/25/2020,1056,982,775,52
9/27/2023,Alabama,2020,5,2/1/2020,1026,949,733,54
9/27/2023,Alabama,2020,6,2/8/2020,1120,1028,811,55
9/27/2023,Alabama,2020,7,2/15/2020,1095,1020,795,60
9/27/2023,Alabama,2020,8,2/22/2020,1098,1018,803,40
9/27/2023,Alabama,2020,9,2/29/2020,1164,1093,860,55
9/27/2023,Alabama,2020,10,3/7/2020,1057,953,737,56
9/27/2023,Alabama,2020,11,3/14/2020,1091,1013,825,50
9/27/2023,Alabama,2020,12,3/21/2020,1059,986,805,42
9/27/2023,Alabama,2020,13,3/28/2020,1073,989,810,47
9/27/2023,Alabama,2020,14,4/4/2020,1156,1077,917,48
9/27/2023,Alabama,2020,15,4/11/2020,1135,1056,915,46
9/27/2023,Alabama,2020,16,4/18/2020,1149,1053,927,37
9/27/2023,Alabama,2020,17,4/25/2020,1139,1037,912,36
9/27/2023,Alabama,2020,18,5/2/2020,1147,1048,928,36
9/27/2023,Alabama,2020,19,5/9/2020,1171,1084,994,34
9/27/2023,Alabama,2020,20,5/16/2020,1148,1049,937,37
9/27/2023,Alabama,2020,21,5/23/2020,1153,1055,927,43
9/27/2023,Alabama,2020,22,5/30/2020,1109,999,881,44
9/27/2023,Alabama,2020,23,6/6/2020,1173,1071,956,31
9/27/2023,Alabama,2020,24,6/13/2020,1138,1031,896,30
9/27/2023,Alabama,2020,25,6/20/2020,1090,1007,910,37
9/27/2023,Alabama,2020,26,6/27/2020,1151,1064,969,34
9/27/2023,Alabama,2020,27,7/4/2020,1201,1112,1029,38
9/27/2023,Alabama,2020,28,7/11/2020,1265,1177,1093,35
9/27/2023,Alabama,2020,29,7/18/2020,1289,1201,1174,46
9/27/2023,Alabama,2020,30,7/25/2020,1333,1257,1319,39
9/27/2023,Alabama,2020,31,8/1/2020,1364,1269,1329,40
9/27/2023,Alabama,2020,32,8/8/2020,1379,1288,1296,48
9/27/2023,Alabama,2020,33,8/15/2020,1305,1207,1209,44
9/27/2023,Alabama,2020,34,8/22/2020,1303,1219,1195,43
9/27/2023,Alabama,2020,35,8/29/2020,1216,1129,1093,39
9/27/2023,Alabama,2020,36,9/5/2020,1216,1132,1053,26
9/27/2023,Alabama,2020,37,9/12/2020,1232,1148,1055,33
9/27/2023,Alabama,2020,38,9/19/2020,1200,1132,1053,32
9/27/2023,Alabama,2020,39,9/26/2020,1183,1109,980,42
9/27/2023,Alabama,2020,40,10/3/2020,1103,1010,903,30
9/27/2023,Alabama,2020,41,10/10/2020,1204,1120,1060,38
9/27/2023,Alabama,2020,42,10/17/2020,1190,1114,1001,30
9/27/2023,Alabama,2020,43,10/24/2020,1142,1056,966,35
9/27/2023,Alabama,2020,44,10/31/2020,1169,1093,1007,43
9/27/2023,Alabama,2020,45,11/7/2020,1277,1183,1094,35
9/27/2023,Alabama,2020,46,11/14/2020,1269,1186,1143,34
9/27/2023,Alabama,2020,47,11/21/2020,1275,1176,1092,39
9/27/2023,Alabama,2020,48,11/28/2020,1326,1237,1192,41
9/27/2023,Alabama,2020,49,12/5/2020,1355,1259,1302,36
9/27/2023,Alabama,2020,50,12/12/2020,1598,1509,1636,46
9/27/2023,Alabama,2020,51,12/19/2020,1584,1485,1615,60
9/27/2023,Alabama,2020,52,12/26/2020,1626,1554,1759,42
9/27/2023,Alabama,2020,53,1/2/2021,1804,1703,1907,58
9/27/2023,Alabama,2021,1,1/9/2021,1811,1708,2008,51
9/27/2023,Alabama,2021,2,1/16/2021,1835,1745,2081,51
9/27/2023,Alabama,2021,3,1/23/2021,1791,1688,2011,44
9/27/2023,Alabama,2021,4,1/30/2021,1637,1559,1811,41
9/27/2023,Alabama,2021,5,2/6/2021,1509,1410,1531,49
9/27/2023,Alabama,2021,6,2/13/2021,1432,1338,1378,33
9/27/2023,Alabama,2021,7,2/20/2021,1332,1252,1236,41
9/27/2023,Alabama,2021,8,2/27/2021,1315,1219,1133,38
9/27/2023,Alabama,2021,9,3/6/2021,1162,1055,950,39
9/27/2023,Alabama,2021,10,3/13/2021,1189,1088,927,46
9/27/2023,Alabama,2021,11,3/20/2021,1060,977,837,36
9/27/2023,Alabama,2021,12,3/27/2021,1191,1073,952,45
9/27/2023,Alabama,2021,13,4/3/2021,1107,1003,847,42
9/27/2023,Alabama,2021,14,4/10/2021,1209,1095,907,40
9/27/2023,Alabama,2021,15,4/17/2021,1170,1071,872,39
9/27/2023,Alabama,2021,16,4/24/2021,1108,1010,852,40
9/27/2023,Alabama,2021,17,5/1/2021,1192,1103,923,45
9/27/2023,Alabama,2021,18,5/8/2021,1156,1043,894,26
9/27/2023,Alabama,2021,19,5/15/2021,1095,987,849,34
9/27/2023,Alabama,2021,20,5/22/2021,1095,1005,834,34
9/27/2023,Alabama,2021,21,5/29/2021,1080,992,828,32
9/27/2023,Alabama,2021,22,6/5/2021,1086,982,830,37
9/27/2023,Alabama,2021,23,6/12/2021,1111,1007,846,34
9/27/2023,Alabama,2021,24,6/19/2021,1135,1023,815,36
9/27/2023,Alabama,2021,25,6/26/2021,1074,983,801,35
9/27/2023,Alabama,2021,26,7/3/2021,1062,946,777,30
9/27/2023,Alabama,2021,27,7/10/2021,1133,1020,840,34
9/27/2023,Alabama,2021,28,7/17/2021,1055,971,783,36
9/27/2023,Alabama,2021,29,7/24/2021,1105,992,873,38
9/27/2023,Alabama,2021,30,7/31/2021,1170,1080,967,41
9/27/2023,Alabama,2021,31,8/7/2021,1330,1225,1221,39
9/27/2023,Alabama,2021,32,8/14/2021,1441,1352,1498,32
9/27/2023,Alabama,2021,33,8/21/2021,1577,1477,1664,37
9/27/2023,Alabama,2021,34,8/28/2021,1619,1545,1784,47
9/27/2023,Alabama,2021,35,9/4/2021,1607,1499,1758,45
9/27/2023,Alabama,2021,36,9/11/2021,1750,1649,1956,59
9/27/2023,Alabama,2021,37,9/18/2021,1586,1486,1737,44
9/27/2023,Alabama,2021,38,9/25/2021,1450,1344,1539,33
9/27/2023,Alabama,2021,39,10/2/2021,1496,1388,1489,40
9/27/2023,Alabama,2021,40,10/9/2021,1371,1271,1331,41
9/27/2023,Alabama,2021,41,10/16/2021,1278,1171,1157,40
9/27/2023,Alabama,2021,42,10/23/2021,1211,1116,1062,52
9/27/2023,Alabama,2021,43,10/30/2021,1121,1016,898,38
9/27/2023,Alabama,2021,44,11/6/2021,1188,1087,954,45
9/27/2023,Alabama,2021,45,11/13/2021,1177,1108,966,42
9/27/2023,Alabama,2021,46,11/20/2021,1115,1051,844,29
9/27/2023,Alabama,2021,47,11/27/2021,1188,1095,916,46
9/27/2023,Alabama,2021,48,12/4/2021,1257,1148,958,24
9/27/2023,Alabama,2021,49,12/11/2021,1247,1144,938,45
9/27/2023,Alabama,2021,50,12/18/2021,1148,1061,915,43
9/27/2023,Alabama,2021,51,12/25/2021,1144,1059,912,41
9/27/2023,Alabama,2021,52,1/1/2022,1253,1150,999,39
9/27/2023,Alabama,2022,1,1/8/2022,1330,1223,1139,47
9/27/2023,Alabama,2022,2,1/15/2022,1521,1444,1406,43
9/27/2023,Alabama,2022,3,1/22/2022,1500,1416,1444,45
9/27/2023,Alabama,2022,4,1/29/2022,1697,1621,1757,42
9/27/2023,Alabama,2022,5,2/5/2022,1677,1577,1719,32
9/27/2023,Alabama,2022,6,2/12/2022,1604,1504,1637,48
9/27/2023,Alabama,2022,7,2/19/2022,1477,1376,1445,37
9/27/2023,Alabama,2022,8,2/26/2022,1334,1221,1236,34
9/27/2023,Alabama,2022,9,3/5/2022,1196,1105,1039,15
9/27/2023,Alabama,2022,10,3/12/2022,1183,1070,974,29
9/27/2023,Alabama,2022,11,3/19/2022,1138,1043,898,30
9/27/2023,Alabama,2022,12,3/26/2022,1086,1001,795,32
9/27/2023,Alabama,2022,13,4/2/2022,1046,959,781,39
9/27/2023,Alabama,2022,14,4/9/2022,1089,993,804,38
9/27/2023,Alabama,2022,15,4/16/2022,1074,977,773,31
